TIME_STEP,farms,Natural_Capital,NEWCOMERS,broadband_infrastructure_population_covered,proportion_of_newcomers,shared_knowledge,social_innovation,tourist_visitors,workforce_specialization,INFANTS,ELDERLY_POPULATION,SCHOOL_AGE_POPULATION,POST_SCHOOL_POPULATION,WORKING_AGE_POPULATION,WORKING_AGE_RURAL_POPULATION,total_rural_population,proportion_INFANTS,proportion_ELDERLY_POPULATION,proportion_SCHOOL_AGE_POPULATION,proportion_POST_SCHOOL_POPULATION,proportion_WORKING_AGE_POPULATION,proportion_NEWCOMERS,MODEL
2016.0,0.018642233158564985,0.09740844770523858,0.004208608439042503,0.5780590717299574,0.5052562389159284,0.0,0.16493954439201097,0.04841902481682226,0.4953084391909535,0.0,0.004197890263539458,0.0,0.0,0.0,0.0,0.0,0.0,0.5813611052519466,0.07490895468045805,0.09419468482579171,0.71646634549599,0.5052562389159284,Segobriga
2016.25,0.01878085161407658,0.09759473508898588,0.004106574610365425,0.5780590717299574,0.5010369854493093,0.0,0.1625159981272189,0.048381382788425964,0.4972577520751945,0.0,0.004149261363717741,0.0,0.0,0.0,0.0,0.0,0.0,0.5778083139757035,0.07435461100048252,0.10229514317525332,0.7211484850812238,0.5010369854493093,Segobriga
2016.5,0.018918014053011984,0.09781685011878134,0.0040141560412597175,0.5780590717299574,0.4898198324955253,0.0,0.16038426009578788,0.04831441756658024,0.49855675838816293,0.0,0.004102125821603857,0.0,0.0,0.0,0.0,0.0,0.0,0.5743475566063729,0.07379923026516391,0.10937443866361136,0.7258608504442461,0.4898198324955253,Segobriga
2016.75,0.01905366140755287,0.09807723519902223,0.003930400876444309,0.5780590717299574,0.4693794849235972,0.0,0.15851649146919192,0.048225755869819524,0.49985088762053564,0.0,0.00405643931176951,0.0,0.0,0.0,0.0,0.0,0.0,0.5709820719168102,0.0732449118560439,0.11544061063051879,0.7305943931016587,0.4693794849235972,Segobriga
2017.0,0.019187733732035934,0.09837535545454454,0.003854498153841286,0.5780590717299574,0.4509754462726784,0.0,0.15688754487314774,0.0481166326473962,0.5011396761245411,0.0,0.004012160423568204,0.0,0.0,0.0,0.0,0.0,0.0,0.5677139832540492,0.07269224923970784,0.12051835667042239,0.7353398492298789,0.4509754462726784,Segobriga
2017.25,0.019320170124101713,0.09871024590113238,0.0037857382517016264,0.5780590717299574,0.4343560949486011,0.0,0.15547470497347976,0.04798044027991335,0.5024227820620412,0.0,0.003969249049355889,0.0,0.0,0.0,0.0,0.0,0.0,0.5645426326382358,0.07214067057350376,0.12467214896919816,0.7400855002122341,0.4343560949486011,Segobriga
2017.5,0.019450908349570944,0.09908368973261397,0.0037234795138975686,0.5780590717299574,0.4192748097298784,0.0,0.1542694695524449,0.047823538726725026,0.5036996355902812,0.0,0.003927664551304628,0.0,0.0,0.0,0.0,0.0,0.0,0.5614709903941076,0.07158630201384797,0.1279679516948799,0.7448209374572519,0.4192748097298784,Segobriga
2017.75,0.019579884794928303,0.09949694666805349,0.003667148190412057,0.5780590717299574,0.40555802800838636,0.0,0.1532713120154962,0.04765124726734621,0.5049699880330625,0.0,0.0038873669187578304,0.0,0.0,0.0,0.0,0.0,0.0,0.5584981115574514,0.07102500890759192,0.13046657510722678,0.7495378424566069,0.40555802800838636,Segobriga
2018.0,0.01970703496827324,0.09995085080761021,0.0036162214012889697,0.5780590717299574,0.39305654010763186,0.0,0.1524560099816384,0.04746800354206917,0.5062336467660072,0.0,0.0038483166682210693,0.0,0.0,0.0,0.0,0.0,0.0,0.5556059656533391,0.0704394495145387,0.13256142832014337,0.7542115561209068,0.39305654010763186,Segobriga
2018.25,0.01983229375051165,0.1004458599315552,0.0035702602856078004,0.5780590717299574,0.3816432118839989,0.0,0.1518013153226093,0.04727749998780348,0.5074905109638415,0.0,0.00381047493533489,0.0,0.0,0.0,0.0,0.0,0.0,0.5527896747364893,0.06982840912146726,0.1343069008976711,0.7588355518419457,0.3816432118839989,Segobriga
